,GSM4227385,GSM4227387,GSM4227389,GSM4227391,GSM4227386,GSM4227388,GSM4227390,GSM4227392
ENST00000383052.5,0.0,0.0,0.0,0.0,0.47,0.47,0.47,0.47
ENST00000443793.1,2.29,2.29,2.29,2.29,0.0,0.0,0.0,0.0
ENST00000449237.4,0.0,0.0,0.0,0.0,0.19,0.19,0.19,0.19
ENST00000355162.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000346432.3,0.19,0.19,0.19,0.19,0.0,0.0,0.0,0.0
ENST00000427943.1,0.0,0.0,0.0,0.0,0.59,0.59,0.59,0.59
ENST00000382909.5,0.28,0.28,0.28,0.28,0.3,0.3,0.3,0.3
ENST00000382907.8,0.49,0.49,0.49,0.49,1.28,1.28,1.28,1.28
ENST00000382905.8,0.47,0.47,0.47,0.47,0.81,0.81,0.81,0.81
ENST00000382881.7,0.87,0.87,0.87,0.87,1.24,1.24,1.24,1.24
ENST00000382874.6,0.55,0.55,0.55,0.55,0.0,0.0,0.0,0.0
ENST00000382871.3,2.2,2.2,2.2,2.2,6.64,6.64,6.64,6.64
ENST00000382883.7,0.78,0.78,0.78,0.78,0.8,0.8,0.8,0.8
ENST00000382870.7,5.38,5.38,5.38,5.38,3.18,3.18,3.18,3.18
ENST00000427301.1,3.11,3.11,3.11,3.11,0.0,0.0,0.0,0.0
ENST00000400199.5,1.98,1.98,1.98,1.98,1.42,1.42,1.42,1.42
ENST00000400202.5,0.0,0.0,0.0,0.0,0.31,0.31,0.31,0.31
ENST00000411932.1,1.81,1.81,1.81,1.81,0.13,0.13,0.13,0.13
ENST00000435781.5,2.84,2.84,2.84,2.84,2.95,2.95,2.95,2.95
ENST00000419181.5,32.67,32.67,32.67,32.67,24.19,24.19,24.19,24.19
ENST00000438571.5,3.66,3.66,3.66,3.66,3.83,3.83,3.83,3.83
ENST00000449710.5,0.22,0.22,0.22,0.22,1.14,1.14,1.14,1.14
ENST00000422053.3,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.05
ENST00000411647.5,0.15,0.15,0.15,0.15,1.21,1.21,1.21,1.21
ENST00000382214.7,1.84,1.84,1.84,1.84,2.05,2.05,2.05,2.05
ENST00000415942.5,3.13,3.13,3.13,3.13,0.0,0.0,0.0,0.0
ENST00000441733.5,0.76,0.76,0.76,0.76,0.59,0.59,0.59,0.59
ENST00000353660.7,1.09,1.09,1.09,1.09,1.23,1.23,1.23,1.23
ENST00000400245.3,6.16,6.16,6.16,6.16,3.14,3.14,3.14,3.14
ENST00000382181.2,1.42,1.42,1.42,1.42,2.61,2.61,2.61,2.61
ENST00000400247.3,2.71,2.71,2.71,2.71,4.07,4.07,4.07,4.07
ENST00000414880.1,0.63,0.63,0.63,0.63,1.76,1.76,1.76,1.76
ENST00000354828.7,0.38,0.38,0.38,0.38,1.79,1.79,1.79,1.79
ENST00000405805.5,5.2,5.2,5.2,5.2,1.32,1.32,1.32,1.32
ENST00000339872.8,40.13,40.13,40.13,40.13,20.28,20.28,20.28,20.28
ENST00000399489.5,8.4,8.4,8.4,8.4,8.97,8.97,8.97,8.97
