motif,NumOfProbes,PercentageOfProbes,lowerOR,upperOR,OR,p.value,FDR,TF family,TF subfamily,TF.family.member,TF.subfamily.member
PO5F1_HUMAN.H11MO.0.A,52,0.3851851851851852,5.45649973445195,11.273286607314144,7.874869380590857,2.2336452228909757e-24,1.7221404668489424e-21,POU domain factors{3.1.10},POU5 (Oct-3/4-like factors){3.1.10.5},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F1B;POU5F2;POU6F1;POU6F2,POU5F1B;POU5F1
NANOG_HUMAN.H11MO.0.A,51,0.37777777777777777,5.031887289871803,10.428919280368184,7.274406025508444,1.2384037484698438e-22,4.7740464503512477e-20,NK-related factors{3.1.2},NANOG{3.1.2.12},BARHL1;BARHL2;BARX1;BARX2;BSX;DBX1;DBX2;DLX1;DLX2;DLX3;DLX4;DLX5;DLX6;EMX1;EMX2;EN1;EN2;HHEX;HLX;HMX1;HMX2;HMX3;LBX1;LBX2;MSX1;MSX2;NANOG;NKX1-1;NKX1-2;NKX2-1;NKX2-2;NKX2-3;NKX2-4;NKX2-5;NKX2-6;NKX2-8;NKX3-1;NKX3-2;NKX6-1;NKX6-2;NKX6-3;NOTO;TLX1;TLX2;TLX3;VAX1;VAX2;VENTX,NANOG
PO3F1_HUMAN.H11MO.0.C,38,0.2814814814814815,3.906584760827145,8.592281479519857,5.846384809486673,2.550847753137191e-15,4.916759044171936e-13,POU domain factors{3.1.10},POU3 (Oct-6-like factors){3.1.10.3},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F1B;POU5F2;POU6F1;POU6F2,POU3F1;POU3F2;POU3F3;POU3F4
SOX2_HUMAN.H11MO.1.A,44,0.32592592592592595,3.5700578396086144,7.594353795996234,5.241132719408325,1.8112446887224443e-15,4.654898850016682e-13,SOX-related factors{4.1.1},Group B{4.1.1.2},BBX;CIC;HBP1;SOX1;SOX10;SOX11;SOX12;SOX13;SOX14;SOX15;SOX17;SOX18;SOX2;SOX21;SOX3;SOX30;SOX4;SOX5;SOX6;SOX7;SOX8;SOX9;SRY,SOX1;SOX21;SOX2;SOX3
JUN_HUMAN.H11MO.0.A,55,0.4074074074074074,2.988797728801046,6.129261404355977,4.294105200698754,1.3385270275600518e-14,2.0640086764976e-12,Jun-related factors{1.1.1},Jun factors{1.1.1.1},ATF2;ATF7;BACH1;BACH2;CREB5;JUN;JUNB;JUND;NFE2;NFE2L1;NFE2L2;NFE2L3,JUNB;JUND;JUN
JUND_HUMAN.H11MO.0.A,53,0.3925925925925926,2.7142790102177043,5.591656051179373,3.910717518132292,7.079257505352019e-13,9.096845894377344e-11,Jun-related factors{1.1.1},Jun factors{1.1.1.1},ATF2;ATF7;BACH1;BACH2;CREB5;JUN;JUNB;JUND;NFE2;NFE2L1;NFE2L2;NFE2L3,JUNB;JUND;JUN
FOSL2_HUMAN.H11MO.0.A,52,0.3851851851851852,2.6885911796331663,5.553200541231484,3.879816690292551,1.2723597997803673e-12,1.401413436615233e-10,Fos-related factors{1.1.2},Fos factors{1.1.2.1},ATF3;FOS;FOSB;FOSL1;FOSL2;JDP2,FOSB;FOSL1;FOSL2;FOS
HXD8_HUMAN.H11MO.0.D,29,0.21481481481481482,2.6092593743402905,6.208906757785771,4.083793093389468,4.990342626770866e-9,2.1375300918001878e-7,HOX-related factors{3.1.1},HOX8{3.1.1.7},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F2;POU6F1;POU6F2,HOXB8;HOXC8;HOXD8
FOSL1_HUMAN.H11MO.0.A,51,0.37777777777777777,2.5533088965611186,5.289091564498898,3.691012246250226,8.956918856662852e-12,8.632230548108823e-10,Fos-related factors{1.1.2},Fos factors{1.1.2.1},ATF3;FOS;FOSB;FOSL1;FOSL2;JDP2,FOSB;FOSL1;FOSL2;FOS
FOSB_HUMAN.H11MO.0.A,50,0.37037037037037035,2.5311696468777587,5.259219086568202,3.6656437236104673,1.5157083709943127e-11,1.168611154036615e-9,Fos-related factors{1.1.2},Fos factors{1.1.2.1},ATF3;FOS;FOSB;FOSL1;FOSL2;JDP2,FOSB;FOSL1;FOSL2;FOS
