Probe,GeneID,Symbol,Distance,Sides,Raw.p,Pe
cg00067177,ENSG00000186812,ZNF397,162662,R1,0.09696542614120533,0.0297029702970297
cg00442390,ENSG00000216854,RPL17P26,151653,R1,0.09696542614120533,0.0297029702970297
cg00527928,ENSG00000136643,RPS6KC1,9703,L1,0.09696542614120533,0.0297029702970297
cg00533523,ENSG00000137831,UACA,-0,L1,0.09696542614120533,0.0297029702970297
cg01087456,ENSG00000271072,PHBP20,-103698,L2,0.09696542614120533,0.0297029702970297
cg01174459,ENSG00000257773,ST13P3,647820,R1,0.09696542614120533,0.0297029702970297
cg01610639,ENSG00000113407,TARS,123169,L1,0.09696542614120533,0.0297029702970297
cg02855302,ENSG00000213176,RPL13P6,54013,R1,0.09696542614120533,0.0297029702970297
cg03407966,ENSG00000249661,TNRC18P1,-43264,L2,0.09696542614120533,0.0297029702970297
cg03407966,ENSG00000170153,RNF150,171051,R1,0.09696542614120533,0.0297029702970297
cg03414654,ENSG00000067900,ROCK1,-0,L1,0.09696542614120533,0.0297029702970297
cg04077692,ENSG00000224727,FCF1P7,-139349,L2,0.09696542614120533,0.0297029702970297
cg04819081,ENSG00000119771,KLHL29,-95062,L2,0.09696542614120533,0.0297029702970297
cg04819081,ENSG00000224464,PGAM1P6,68592,R1,0.09696542614120533,0.0297029702970297
cg05476493,ENSG00000203778,FAM229B,-128779,L2,0.09696542614120533,0.0297029702970297
cg05476493,ENSG00000112769,LAMA4,-0,L1,0.09696542614120533,0.0297029702970297
cg05974410,ENSG00000273675,AL118556.2,-29346,L2,0.09696542614120533,0.0297029702970297
cg06019273,ENSG00000218596,AL162578.1,7781,R1,0.09696542614120533,0.0297029702970297
cg06386236,ENSG00000233072,RPS15AP6,-23874,L2,0.09696542614120533,0.0297029702970297
cg06386236,ENSG00000075151,EIF4G3,-0,L1,0.09696542614120533,0.0297029702970297
cg06386236,ENSG00000236073,AL627311.1,45828,R1,0.09696542614120533,0.0297029702970297
cg07127693,ENSG00000133961,NUMB,-0,L1,0.09696542614120533,0.0297029702970297
cg07226883,ENSG00000177425,PAWR,-93612,L2,0.09696542614120533,0.0297029702970297
cg07226883,ENSG00000058272,PPP1R12A,-0,L1,0.09696542614120533,0.0297029702970297
cg07312943,ENSG00000137801,THBS1,-178204,L2,0.09696542614120533,0.0297029702970297
cg07312943,ENSG00000150667,FSIP1,-0,L1,0.09696542614120533,0.0297029702970297
