LinReg:ID,chromosome,MAPINFO,p-values,q-values,intercept,V1,V2,beta,statistic,UCSC_RefGene_Name,Relation_to_UCSC_CpG_Island
cg13502023,11,18354034,3.9272823e-08,0.010984528411682957,2.7808843,-0.024122998,-0.097290136,-1.7726065,-12.225955,GTF2H1,nan
cg23384863,2,44132538,4.497932e-08,0.010984528411682957,0.49157986,0.017029343,0.6083395,-2.056048,-12.078252,LRPPRC,nan
cg00320765,14,69264333,4.6172687e-08,0.010984528411682957,1.9728041,-0.010732203,-0.18460993,-1.7887774,-12.049921,C14orf181,S_Shore
cg24259463,1,210046971,1.02921945e-07,0.015177006419082772,0.62944317,0.015421518,0.2611097,-2.1084778,-11.209653,nan,nan
cg04223956,1,198201614,1.06325786e-07,0.015177006419082772,1.0476949,0.018961271,0.18704996,-2.4459546,-11.1766205,NEK7,nan
cg03407966,4,141609908,1.2932858e-07,0.015383699659494708,1.621449,-0.0034375305,-0.031161852,-1.6223722,-10.979505,TBC1D9,nan
cg07403374,17,65748633,2.077326e-07,0.021179911131944045,1.281157,1.983653e-05,0.117481515,-1.5701642,-10.514451,nan,nan
cg10122230,16,88043323,2.6776993e-07,0.02356820605201051,1.9900213,-0.0057755033,-0.00062824006,-1.9107102,-10.272046,BANP,N_Shore
cg24603972,10,61434211,3.166255e-07,0.02356820605201051,3.1517596,-0.03288813,-0.19647448,-1.9571011,-10.114531,SLC16A9,nan
cg17526578,20,35470765,3.3022428e-07,0.02356820605201051,1.7116804,-0.0036369024,0.038450193,-1.7084008,-10.075314,SOGA1,S_Shelf
cg05619202,18,60041959,3.736417e-07,0.02424265548315351,1.2003583,0.0033010833,0.7026867,-2.3788176,-9.960825,TNFRSF11A,nan
cg04105597,1,205585639,4.6450467e-07,0.026559546996185627,2.3326306,0.00057370705,-0.033246014,-2.6409385,-9.761609,ELK4,nan
cg22278294,5,39470228,4.837784e-07,0.026559546996185627,5.7505713,-0.042727675,-0.8583298,-3.3722985,-9.724754,nan,nan
cg12613081,12,65181865,7.0541626e-07,0.03375271561533282,-0.98399913,0.042823352,1.0872003,-2.4831958,-9.388061,nan,nan
cg00056325,2,135926009,7.0938574e-07,0.03375271561533282,0.87911046,0.0072844904,0.2703406,-1.6221029,-9.3831215,RAB3GAP1,nan
cg20903486,15,36924774,7.752101e-07,0.03457936010747176,-1.3279848,0.04383973,0.9521553,-1.9959096,-9.305282,C15orf41,nan
cg03414654,18,18643644,9.796527e-07,0.041128296961072494,1.1301829,0.009057951,0.33348408,-2.06356,-9.102351,ROCK1,nan
cg19323261,15,39602982,1.2109941e-06,0.04801611901100008,1.4633287,-0.0017191895,0.32524157,-2.066064,-8.921497,nan,nan
cg08235465,18,53180390,1.4961613e-06,0.052204286174125106,2.2525856,-0.0055262735,0.010870787,-2.1619923,-8.743831,TCF4,nan
cg08277137,20,33899996,1.530913e-06,0.052204286174125106,1.2147282,0.004760684,0.20472825,-1.8556898,-8.724701,UQCC1,nan
cg02518948,17,30242983,1.5360591e-06,0.052204286174125106,2.2280848,0.021193707,0.3706393,-4.1447854,-8.721908,nan,N_Shore
cg02728857,11,103508372,1.6101488e-06,0.052234911794652235,0.6855307,0.009893837,0.004194365,-1.5786328,-8.682768,nan,nan
cg11915312,12,78359607,2.3290222e-06,0.07038547555455921,1.1985719,0.005036911,0.10133596,-1.7581576,-8.380574,NAV3,nan
cg20169734,3,47307826,2.3668829e-06,0.07038547555455921,1.7224243,0.004601821,0.22955662,-2.5049446,-8.367552,KIF9,nan
cg16236275,6,87891939,2.9295418e-06,0.08051349515041623,1.1399803,0.009040279,0.31507567,-1.8672165,-8.196701,ZNF292,nan
cg27053817,2,150442326,2.933084e-06,0.08051349515041623,3.1680644,0.023064489,0.47613317,-4.932486,-8.195741,MMADHC,nan
cg06429705,5,72142736,3.3188337e-06,0.08772820637823821,3.1038926,-0.014724455,-0.13995895,-2.6342287,-8.097928,TNPO1,N_Shore
cg22079598,7,65263377,3.6298077e-06,0.09252159393399291,1.472219,0.0010575864,-0.2979407,-2.1127872,-8.027549,nan,nan
cg21940735,10,93713530,4.526344e-06,0.11139535803974061,0.6530422,0.014448459,0.34006053,-1.825885,-7.855955,BTAF1,nan
cg14011835,17,4249159,5.0302733e-06,0.11967070517530375,3.540244,-0.028744994,-0.2310766,-2.1641963,-7.774813,UBE2G1,nan
cg26093964,2,16837255,6.090482e-06,0.13614442764202977,0.7730213,0.029778773,0.83766174,-3.349365,-7.629286,FAM49A,nan
cg06012428,6,157477204,6.3240427e-06,0.13614442764202977,-0.3548191,0.033863824,0.6689991,-2.1602488,-7.600874,ARID1B,nan
cg12279288,16,88043624,6.404931e-06,0.13614442764202977,2.2597954,0.0003101702,0.08734136,-3.1531713,-7.591295,BANP,N_Shore
cg00253428,12,105772603,6.4930005e-06,0.13614442764202977,3.5274994,-0.02351499,-0.25661066,-2.3988101,-7.581011,nan,nan
cg19284838,12,96186464,6.809558e-06,0.13614442764202977,3.7368765,-0.0282815,-0.22585462,-2.5879805,-7.5452385,nan,S_Shore
cg06860951,6,75702317,7.183938e-06,0.13614442764202977,3.221186,-0.015672345,-0.15313208,-2.5228822,-7.505156,nan,nan
cg20309677,1,116925753,7.670405e-06,0.13614442764202977,4.646592,-0.016900463,-0.594258,-3.9609191,-7.4562826,ATP1A1,nan
cg21200554,6,71122201,7.790955e-06,0.13614442764202977,1.6409034,0.013301353,0.81214744,-3.5310204,-7.4446826,FAM135A,N_Shore
cg27345785,4,170080837,8.002626e-06,0.13614442764202977,-0.20271803,0.023636188,0.9650551,-3.8104756,-7.4247704,SH3RF1,nan
cg07774612,5,72935805,8.172769e-06,0.13614442764202977,8.514939,-0.051425517,-1.2677275,-5.823265,-7.409168,ARHGEF28,nan
cg04148515,8,128875157,8.286837e-06,0.13614442764202977,4.3564267,-0.030848535,-0.4933948,-2.6339104,-7.3989005,PVT1,nan
cg09332438,4,4241567,8.718838e-06,0.13614442764202977,3.5081105,-0.018747082,-0.40005907,-3.5097704,-7.361338,TMEM128,nan
cg15555000,5,132407867,8.739835e-06,0.13614442764202977,-0.25429156,0.026770711,0.60272014,-1.8620284,-7.3595634,HSPA4,nan
cg14124194,2,32647337,8.850408e-06,0.13614442764202977,1.0392215,0.013234335,0.46234924,-2.2531796,-7.3502917,BIRC6,nan
cg11549294,7,79245090,9.08819e-06,0.13614442764202977,3.2017257,-0.020481197,0.095952176,-2.5793953,-7.3307652,nan,nan
cg08700083,4,48382815,9.162247e-06,0.13614442764202977,1.4499662,0.0015296569,0.091418184,-1.8662592,-7.324795,SLAIN2,nan
cg27198040,12,28912345,9.251598e-06,0.13614442764202977,2.5638583,-0.020154199,0.017395725,-1.994933,-7.31766,nan,nan
cg20407675,11,111476669,9.372758e-06,0.13614442764202977,-1.0724852,0.038993094,0.9249675,-1.9085039,-7.3081007,SIK2,S_Shelf
cg12312899,1,61646988,9.520626e-06,0.13614442764202977,5.2915273,-0.022995258,-0.36928168,-4.1222544,-7.296612,NFIA,nan
cg22723023,13,37547531,9.537891e-06,0.13614442764202977,2.3239589,0.009592116,0.1489965,-3.1754355,-7.295283,ALG5,nan
cg06763538,10,103249386,9.784673e-06,0.13692844401018245,1.9916413,0.0065071336,0.16523,-2.7287626,-7.2765617,BTRC,nan
cg09032791,1,200815860,1.0451721e-05,0.14345047658282686,-0.06113847,0.025916496,0.7292173,-1.9392695,-7.228376,CAMSAP1L1,nan
cg19294038,14,56166166,1.079303e-05,0.14533996038712843,4.203247,-0.035910252,-1.0487292,-2.7406144,-7.2049737,nan,nan
cg06530743,4,54797803,1.2104132e-05,0.15997695184998723,0.60309047,0.007427006,1.3745123,-2.7357106,-7.121884,nan,nan
cg14310198,9,134536436,1.2703329e-05,0.16484371003114742,2.0043743,-0.0010013997,-0.1588932,-2.0588965,-7.0870533,RAPGEF1,nan
cg13265572,3,182694617,1.3083556e-05,0.16674594995177877,2.8800502,0.001121213,0.0070308913,-3.5442464,-7.0658474,DCUN1D1,N_Shelf
cg08573409,7,98704737,1.3334915e-05,0.16696787327533744,5.742554,-0.06352745,-1.190208,-3.642851,-7.052186,SMURF1,nan
cg19275008,2,37882358,1.37528195e-05,0.1690723243433024,0.63361156,0.011643904,0.09789988,-1.8804678,-7.03007,CDC42EP3,nan
cg16614313,1,204494493,1.3976776e-05,0.1690723243433024,-0.87664235,0.042816482,1.1240486,-2.3828845,-7.01851,MDM4,nan
cg10581129,13,30799702,1.5683687e-05,0.18411841205634713,1.963871,-0.0033655507,0.1811845,-2.2453253,-6.9364057,KATNAL1,nan
cg19119393,3,129514687,1.573655e-05,0.18411841205634713,2.1332955,-0.0001706604,-0.1456607,-2.286148,-6.934017,TMCC1,nan
cg08006738,1,43653434,1.7715554e-05,0.19467183090653797,0.6991083,0.027598955,1.8619925,-6.257891,-6.8502645,CFAP57,nan
cg12882383,10,71968981,1.7738965e-05,0.19467183090653797,2.65733,-0.0059033483,-0.44876003,-2.5310466,-6.8493342,PPA1,nan
cg16291587,5,124822463,1.7750219e-05,0.19467183090653797,3.9790754,-0.045236636,0.15250756,-2.3066807,-6.848888,nan,nan
cg04876597,16,88043317,1.7841649e-05,0.19467183090653797,2.8586307,-0.012288079,-0.049948588,-2.7438188,-6.84527,BANP,N_Shore
cg23991504,14,39771515,1.8002364e-05,0.19467183090653797,0.78913814,0.022984536,0.3854422,-2.528887,-6.8389587,CTAGE5,nan
