	HG38.seqnames	HG38.start	HG38.end	HG38.strand
0	chr21	34887078	34887079	-
1	chr17	48311000	48311001	-
2	chr19	41937167	41937168	+
3	chr17	48555603	48555604	-
4	chr3	50450425	50450426	-
5	chr5	139677216	139677217	+
6	chr19	38390357	38390406	-
7	chrX	137550420	137550421	-
8	chr1	12478432	12478433	+
9	chrX	123963128	123963129	+
10	chrX	84502462	84502463	-
11	chrX	110003552	110003553	+
12	chr11	64626501	64626502	-
13	chrX	17655738	17655739	+
14	chr5	135477269	135477270	+
15	chrX	136880722	136880723	-
16	chrX	84502468	84502469	-
17	chr18	55422664	55422665	-
18	chr20	40688120	40688121	-
19	chr15	95464662	95464663	-
20	chr3	147407971	147407972	+
21	chrX	53684453	53684454	-
22	chr20	53386642	53386643	+
23	chr17	2085784	2085785	-
24	chr1	154970115	154970116	-
25	chr14	33800872	33800873	+
26	chr5	139637506	139637507	-
27	chr12	98807882	98807883	-
28	chr2	80303663	80303664	-
29	chr19	41926758	41926759	+
30	chr17	1714684	1714733	+
31	chr20	40688097	40688098	-
32	chr7	27098986	27098987	+
33	chrX	69506045	69506046	+
34	chr1	159141660	159141661	-
35	chr7	27133877	27133878	+
36	chr11	66665518	66665519	-
37	chrX	84502511	84502512	-
38	chrX	49270652	49270653	+
39	chr19	41935920	41935921	+
40	chr5	139759639	139759640	-
41	chr14	28768009	28768010	+
42	chrX	23335045	23335046	+
43	chrX	23334967	23334968	+
44	chr1	44617175	44617176	+
45	chr10	77637409	77637410	-
46	chr2	80303645	80303646	-
47	chr17	48311025	48311026	-
48	chr6	31622803	31622852	+
49	chr21	34887081	34887082	-
50	chr2	154698770	154698771	+
51	chr17	1714685	1714734	+
52	chr17	7019613	7019614	-
53	chrX	48575858	48575859	+
54	chr2	85742621	85742622	+
55	chrX	130340334	130340335	+
56	chr11	62724291	62724292	-
57	chr21	34887108	34887109	-
58	chr17	7208213	7208214	-
59	chr3	84959635	84959684	-
60	chrX	153971206	153971207	-
61	chr21	37435451	37435452	+
62	chr19	38390351	38390400	+
63	chr16	2756557	2756558	+
64	chrX	71129336	71129337	+
65	chr12	53677516	53677517	-
66	chr1	27428847	27428896	+
67	chrX	136209441	136209442	+
68	chr6	50715432	50715433	+
69	chr5	114362796	114362797	+
70	chr19	41935894	41935895	+
71	chr19	41935938	41935939	+
72	chr20	8132678	8132679	+
73	chr6	15400808	15400809	+
74	chr7	27133936	27133937	+
75	chr16	53967312	53967313	+
76	chr10	71514719	71514720	+
77	chr20	35739448	35739449	-
78	chr16	72221490	72221491	-
79	chr9	14307001	14307002	-
80	chr4	145501352	145501353	-
81	chr1	44617153	44617154	+
82	chr1	44610223	44610224	+
83	chr5	158978240	158978241	-
84	chr1	10724357	10724358	-
85	chr17	64571897	64571946	+
86	chr1	160222734	160222735	-
87	chr18	33124025	33124026	-
88	chrX	39519319	39519320	-
89	chrX	39772217	39772218	-
90	chr1	27567375	27567376	-
91	chr5	142421404	142421405	+
92	chr9	34334397	34334398	+
93	chr7	94395053	94395054	+
94	chr2	207107257	207107258	-
95	chr9	76193656	76193657	+
96	chrX	49880083	49880084	+
97	chr1	183545106	183545107	+
98	chrX	21374426	21374427	+
99	chr8	37380926	37380927	-
100	chr22	38486074	38486075	-
101	chr2	198916730	198916731	-
102	chr8	119437509	119437510	-
103	chr1	60858626	60858627	-
104	chr21	34887086	34887087	-
105	chr11	57794027	57794028	+
106	chrX	17860649	17860650	-
107	chrX	71096889	71096890	+
108	chr10	118404200	118404201	+
109	chrX	140439789	140439790	+
110	chr10	74589454	74589455	+
111	chr19	41937960	41937961	+
112	chr17	39568848	39568849	+
113	chr14	32725359	32725360	+
114	chr6	98116600	98116601	+
115	chr6	84449413	84449414	-
116	chr3	140432576	140432577	+
117	chr16	56748338	56748339	+
118	chr1	44610311	44610312	+
119	chr2	145761142	145761143	+
120	chr5	61732191	61732192	+
121	chrX	148500551	148500552	-
122	chr7	19772493	19772494	-
123	chr2	67846467	67846468	-
124	chr7	91169273	91169274	+
125	chrX	39519217	39519218	-
126	chrX	137569020	137569021	+
127	chr14	61145488	61145489	+
128	chr1	213282107	213282108	+
129	chr2	118842240	118842241	-
130	chr17	48623062	48623063	-
131	chr3	1093027	1093028	+
132	chr2	144596153	144596154	+
133	chr5	77994019	77994020	-
134	chr1	10725423	10725424	-
135	chrX	17375303	17375304	+
136	chr12	54259307	54259308	-
137	chr9	125462944	125462945	-
138	chrX	71119383	71119432	+
139	chr5	90691023	90691024	+
140	chr21	16534849	16534850	+
141	chr17	2367320	2367321	+
142	chr16	54067491	54067492	+
143	chr17	51046663	51046664	-
144	chr3	188326349	188326350	+
145	chr8	37360721	37360722	-
146	chr8	22691369	22691370	-
147	chr20	35739462	35739463	-
148	chr5	88823923	88823924	-
149	chrX	25003886	25003887	-
150	chr5	139639030	139639031	-
151	chr6	24706156	24706157	-
152	chr1	231201524	231201525	+
153	chr9	123611408	123611409	-
154	chr8	92516101	92516102	-
155	chrX	23334970	23334971	+
156	chrX	39811605	39811606	-
157	chrX	137429725	137429726	-
158	chr2	143684927	143684928	-
159	chrX	136209434	136209435	+
160	chr2	60316477	60316478	-
161	chrX	21374917	21374918	+
162	chrX	68996211	68996212	+
163	chr2	236169219	236169220	+
164	chrX	123962290	123962291	+
165	chrX	41553842	41553843	-
166	chr14	96986326	96986327	+
167	chr7	27098982	27098983	+
168	chr1	27589807	27589808	-
169	chr4	104425187	104425188	+
170	chr20	52441886	52441887	+
171	chr13	79936744	79936745	-
172	chr3	12406044	12406045	+
173	chr5	94884431	94884432	-
174	chr9	16828814	16828815	-
175	chrX	132217094	132217095	-
176	chr1	88150480	88150481	-
177	chr10	81875619	81875620	+
178	chr7	27110979	27110980	-
179	chrX	69505321	69505322	+
180	chrX	71224405	71224406	+
181	chrX	39519109	39519110	-
182	chr11	15566116	15566117	+
183	chr10	101445989	101445990	+
184	chr2	144402307	144402308	-
185	chr18	75214565	75214566	+
186	chr22	27843130	27843131	-
187	chr9	125541936	125541937	-
188	chr4	150315573	150315574	-
189	chr1	61242194	61242195	+
190	chr1	22779107	22779108	+
191	chr5	173889745	173889746	+
192	chrX	84502491	84502492	-
193	chr17	61336299	61336300	+
194	chr2	144452596	144452597	-
195	chr6	10400494	10400495	-
196	chrX	17655852	17655853	+
197	chr18	37502266	37502267	-
198	chr12	53601488	53601489	-
199	chrX	49270861	49270862	+
200	chr2	60568242	60568243	-
201	chr3	114624932	114624933	-
202	chr3	114624932	114624933	-
203	chr10	101050230	101050231	+
204	chr17	33023954	33023955	-
205	chr5	7396378	7396379	+
206	chr17	2172425	2172426	-
207	chr2	60533717	60533718	-
208	chr3	114624978	114624979	-
209	chrX	69505879	69505880	+
210	chr2	23663865	23663866	+
211	chrX	33339511	33339512	-
212	chr20	35739483	35739484	-
213	chr6	55174695	55174696	+
214	chrX	17655845	17655846	+
215	chrX	70445261	70445262	+
216	chr17	48051359	48051360	+
217	chr10	110797582	110797583	+
218	chr9	127742946	127742947	-
219	chr12	118190486	118190487	-
220	chr6	100281632	100281633	-
221	chr17	60941254	60941255	+
222	chr1	44610205	44610206	+
223	chrX	68433884	68433885	-
224	chr5	66959260	66959261	+
225	chr9	79395874	79395875	+
226	chrX	25004633	25004634	-
227	chr17	44212470	44212471	-
