	CHR_hg38	Start_hg38	End_hg38	Strand_hg38
0	chr2	135168438	135168440	+
1	chr14	68797615	68797617	+
2	chr11	103637643	103637645	-
3	chr4	140688753	140688755	+
4	chr18	21063682	21063684	-
5	chr1	23051712	23051714	-
6	chr17	60103056	60103058	+
7	chr4	22475352	22475354	+
8	chr6	112231569	112231571	+
9	chr15	70789364	70789366	+
10	chr17	67752516	67752518	+
11	chr18	55513158	55513160	+
12	chr20	35312192	35312194	+
13	chr4	48380797	48380799	-
14	chr7	23019131	23019133	+
15	chr1	200846731	200846733	-
16	chr16	88009716	88009718	-
17	chr12	77965826	77965828	+
18	chr17	29915348	29915350	+
19	chr3	71689492	71689494	+
20	chr11	18332486	18332488	-
21	chr1	35555112	35555114	-
22	chr17	4345863	4345865	-
23	chr8	63208150	63208152	+
24	chr5	133072174	133072176	-
25	chr6	87182220	87182222	-
26	chr2	85956776	85956778	-
27	chr20	36842361	36842363	-
28	chr8	106465902	106465904	+
29	chr2	37655214	37655216	+
30	chr15	39310780	39310782	+
31	chr11	93730793	93730795	-
32	chr11	111605944	111605946	-
33	chr15	36632572	36632574	+
34	chr5	149515394	149515396	+
35	chr10	91953772	91953774	-
36	chr7	65798389	65798391	+
37	chr2	43905398	43905400	+
38	chr1	209873625	209873627	-
39	chr22	41648554	41648556	+
